TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.example.task_evaluated.task_11401,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_29813,BRANCH;EXCEPTION,0.9230769230769231,16,14
com.example.task_evaluated.task_6265,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_16210,BRANCH;EXCEPTION,1.0,12,12
com.example.task_evaluated.task_20345,BRANCH;EXCEPTION,0.6842105263157895,21,9
com.example.task_evaluated.task_1826,BRANCH;EXCEPTION,0.8888888888888888,10,8
com.example.task_evaluated.task_25313,BRANCH;EXCEPTION,0.7,6,3
com.example.task_evaluated.task_14046,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_17108,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_20708,BRANCH;EXCEPTION,0.5333333333333333,15,1
com.example.task_evaluated.task_20866,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_18431,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_13537,BRANCH;EXCEPTION,0.8333333333333333,11,8
com.example.task_evaluated.task_10290,BRANCH;EXCEPTION,1.0,9,9
com.example.task_evaluated.task_18100,BRANCH;EXCEPTION,0.9090909090909092,13,11
com.example.task_evaluated.task_13673,BRANCH;EXCEPTION,0.8333333333333333,4,3
com.example.task_evaluated.task_26751,BRANCH;EXCEPTION,0.8888888888888888,12,10
com.example.task_evaluated.task_4443,BRANCH;EXCEPTION,0.6666666666666666,4,2
com.example.task_evaluated.task_27415,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_20735,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_17271,BRANCH;EXCEPTION,0.7307692307692308,15,8
com.example.task_evaluated.task_2912,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_18187,BRANCH;EXCEPTION,0.7,6,3
com.example.task_evaluated.task_18433,BRANCH;EXCEPTION,0.9285714285714286,8,7
com.example.task_evaluated.task_12729,BRANCH;EXCEPTION,0.6176470588235294,18,5
com.example.task_evaluated.task_28766,BRANCH;EXCEPTION,1.0,15,15
com.example.task_evaluated.task_17627,BRANCH;EXCEPTION,0.6,6,2
com.example.task_evaluated.task_14575,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_10787,BRANCH;EXCEPTION,1.0,7,7
